date_key,full_date,year,month,month_name,week_of_year,day_of_week,is_weekend
20250821,2025-08-21,2025,8,August,34,Thursday,False
20250822,2025-08-22,2025,8,August,34,Friday,False
20250823,2025-08-23,2025,8,August,34,Saturday,True
20250824,2025-08-24,2025,8,August,34,Sunday,True
20250825,2025-08-25,2025,8,August,35,Monday,False
20250826,2025-08-26,2025,8,August,35,Tuesday,False
20250827,2025-08-27,2025,8,August,35,Wednesday,False
20250828,2025-08-28,2025,8,August,35,Thursday,False
20250829,2025-08-29,2025,8,August,35,Friday,False
20250830,2025-08-30,2025,8,August,35,Saturday,True
20250831,2025-08-31,2025,8,August,35,Sunday,True
20250901,2025-09-01,2025,9,September,36,Monday,False
20250902,2025-09-02,2025,9,September,36,Tuesday,False
20250903,2025-09-03,2025,9,September,36,Wednesday,False
20250904,2025-09-04,2025,9,September,36,Thursday,False
20250905,2025-09-05,2025,9,September,36,Friday,False
20250906,2025-09-06,2025,9,September,36,Saturday,True
20250907,2025-09-07,2025,9,September,36,Sunday,True
20250908,2025-09-08,2025,9,September,37,Monday,False
20250909,2025-09-09,2025,9,September,37,Tuesday,False
20250910,2025-09-10,2025,9,September,37,Wednesday,False
20250911,2025-09-11,2025,9,September,37,Thursday,False
20250912,2025-09-12,2025,9,September,37,Friday,False
20250913,2025-09-13,2025,9,September,37,Saturday,True
20250914,2025-09-14,2025,9,September,37,Sunday,True
20250915,2025-09-15,2025,9,September,38,Monday,False
20250916,2025-09-16,2025,9,September,38,Tuesday,False
20250917,2025-09-17,2025,9,September,38,Wednesday,False
20250918,2025-09-18,2025,9,September,38,Thursday,False
20250919,2025-09-19,2025,9,September,38,Friday,False
20250920,2025-09-20,2025,9,September,38,Saturday,True
20250921,2025-09-21,2025,9,September,38,Sunday,True
20250922,2025-09-22,2025,9,September,39,Monday,False
20250923,2025-09-23,2025,9,September,39,Tuesday,False
20250924,2025-09-24,2025,9,September,39,Wednesday,False
20250925,2025-09-25,2025,9,September,39,Thursday,False
20250926,2025-09-26,2025,9,September,39,Friday,False
20250927,2025-09-27,2025,9,September,39,Saturday,True
20250928,2025-09-28,2025,9,September,39,Sunday,True
20250929,2025-09-29,2025,9,September,40,Monday,False
20250930,2025-09-30,2025,9,September,40,Tuesday,False
20251001,2025-10-01,2025,10,October,40,Wednesday,False
20251002,2025-10-02,2025,10,October,40,Thursday,False
20251003,2025-10-03,2025,10,October,40,Friday,False
20251004,2025-10-04,2025,10,October,40,Saturday,True
20251005,2025-10-05,2025,10,October,40,Sunday,True
20251006,2025-10-06,2025,10,October,41,Monday,False
20251007,2025-10-07,2025,10,October,41,Tuesday,False
20251008,2025-10-08,2025,10,October,41,Wednesday,False
20251009,2025-10-09,2025,10,October,41,Thursday,False
20251010,2025-10-10,2025,10,October,41,Friday,False
20251011,2025-10-11,2025,10,October,41,Saturday,True
20251012,2025-10-12,2025,10,October,41,Sunday,True
20251013,2025-10-13,2025,10,October,42,Monday,False
20251014,2025-10-14,2025,10,October,42,Tuesday,False
20251015,2025-10-15,2025,10,October,42,Wednesday,False
20251016,2025-10-16,2025,10,October,42,Thursday,False
20251017,2025-10-17,2025,10,October,42,Friday,False
20251018,2025-10-18,2025,10,October,42,Saturday,True
20251019,2025-10-19,2025,10,October,42,Sunday,True
20251020,2025-10-20,2025,10,October,43,Monday,False
20251021,2025-10-21,2025,10,October,43,Tuesday,False
20251022,2025-10-22,2025,10,October,43,Wednesday,False
20251023,2025-10-23,2025,10,October,43,Thursday,False
20251024,2025-10-24,2025,10,October,43,Friday,False
20251025,2025-10-25,2025,10,October,43,Saturday,True
20251026,2025-10-26,2025,10,October,43,Sunday,True
20251027,2025-10-27,2025,10,October,44,Monday,False
20251028,2025-10-28,2025,10,October,44,Tuesday,False
20251029,2025-10-29,2025,10,October,44,Wednesday,False
20251030,2025-10-30,2025,10,October,44,Thursday,False
20251031,2025-10-31,2025,10,October,44,Friday,False
20251101,2025-11-01,2025,11,November,44,Saturday,True
20251102,2025-11-02,2025,11,November,44,Sunday,True
20251103,2025-11-03,2025,11,November,45,Monday,False
20251104,2025-11-04,2025,11,November,45,Tuesday,False
20251105,2025-11-05,2025,11,November,45,Wednesday,False
20251106,2025-11-06,2025,11,November,45,Thursday,False
20251107,2025-11-07,2025,11,November,45,Friday,False
20251108,2025-11-08,2025,11,November,45,Saturday,True
20251109,2025-11-09,2025,11,November,45,Sunday,True
20251110,2025-11-10,2025,11,November,46,Monday,False
20251111,2025-11-11,2025,11,November,46,Tuesday,False
20251112,2025-11-12,2025,11,November,46,Wednesday,False
20251113,2025-11-13,2025,11,November,46,Thursday,False
20251114,2025-11-14,2025,11,November,46,Friday,False
20251115,2025-11-15,2025,11,November,46,Saturday,True
20251116,2025-11-16,2025,11,November,46,Sunday,True
20251117,2025-11-17,2025,11,November,47,Monday,False
20251118,2025-11-18,2025,11,November,47,Tuesday,False
20251119,2025-11-19,2025,11,November,47,Wednesday,False
20251120,2025-11-20,2025,11,November,47,Thursday,False
20251121,2025-11-21,2025,11,November,47,Friday,False
20251122,2025-11-22,2025,11,November,47,Saturday,True
20251123,2025-11-23,2025,11,November,47,Sunday,True
20251124,2025-11-24,2025,11,November,48,Monday,False
20251125,2025-11-25,2025,11,November,48,Tuesday,False
20251126,2025-11-26,2025,11,November,48,Wednesday,False
20251127,2025-11-27,2025,11,November,48,Thursday,False
20251128,2025-11-28,2025,11,November,48,Friday,False
20251129,2025-11-29,2025,11,November,48,Saturday,True
20251130,2025-11-30,2025,11,November,48,Sunday,True
20251201,2025-12-01,2025,12,December,49,Monday,False
20251202,2025-12-02,2025,12,December,49,Tuesday,False
20251203,2025-12-03,2025,12,December,49,Wednesday,False
20251204,2025-12-04,2025,12,December,49,Thursday,False
20251205,2025-12-05,2025,12,December,49,Friday,False
20251206,2025-12-06,2025,12,December,49,Saturday,True
20251207,2025-12-07,2025,12,December,49,Sunday,True
20251208,2025-12-08,2025,12,December,50,Monday,False
20251209,2025-12-09,2025,12,December,50,Tuesday,False
20251210,2025-12-10,2025,12,December,50,Wednesday,False
20251211,2025-12-11,2025,12,December,50,Thursday,False
20251212,2025-12-12,2025,12,December,50,Friday,False
20251213,2025-12-13,2025,12,December,50,Saturday,True
20251214,2025-12-14,2025,12,December,50,Sunday,True
20251215,2025-12-15,2025,12,December,51,Monday,False
20251216,2025-12-16,2025,12,December,51,Tuesday,False
20251217,2025-12-17,2025,12,December,51,Wednesday,False
20251218,2025-12-18,2025,12,December,51,Thursday,False
20251219,2025-12-19,2025,12,December,51,Friday,False
20251220,2025-12-20,2025,12,December,51,Saturday,True
20251221,2025-12-21,2025,12,December,51,Sunday,True
20251222,2025-12-22,2025,12,December,52,Monday,False
20251223,2025-12-23,2025,12,December,52,Tuesday,False
20251224,2025-12-24,2025,12,December,52,Wednesday,False
20251225,2025-12-25,2025,12,December,52,Thursday,False
20251226,2025-12-26,2025,12,December,52,Friday,False
20251227,2025-12-27,2025,12,December,52,Saturday,True
20251228,2025-12-28,2025,12,December,52,Sunday,True
20251229,2025-12-29,2025,12,December,1,Monday,False
20251230,2025-12-30,2025,12,December,1,Tuesday,False
20251231,2025-12-31,2025,12,December,1,Wednesday,False
20260101,2026-01-01,2026,1,January,1,Thursday,False
20260102,2026-01-02,2026,1,January,1,Friday,False
20260103,2026-01-03,2026,1,January,1,Saturday,True
20260104,2026-01-04,2026,1,January,1,Sunday,True
20260105,2026-01-05,2026,1,January,2,Monday,False
20260106,2026-01-06,2026,1,January,2,Tuesday,False
20260107,2026-01-07,2026,1,January,2,Wednesday,False
20260108,2026-01-08,2026,1,January,2,Thursday,False
20260109,2026-01-09,2026,1,January,2,Friday,False
20260110,2026-01-10,2026,1,January,2,Saturday,True
20260111,2026-01-11,2026,1,January,2,Sunday,True
20260112,2026-01-12,2026,1,January,3,Monday,False
20260113,2026-01-13,2026,1,January,3,Tuesday,False
20260114,2026-01-14,2026,1,January,3,Wednesday,False
20260115,2026-01-15,2026,1,January,3,Thursday,False
20260116,2026-01-16,2026,1,January,3,Friday,False
20260117,2026-01-17,2026,1,January,3,Saturday,True
20260118,2026-01-18,2026,1,January,3,Sunday,True
20260119,2026-01-19,2026,1,January,4,Monday,False
20260120,2026-01-20,2026,1,January,4,Tuesday,False
20260121,2026-01-21,2026,1,January,4,Wednesday,False
20260122,2026-01-22,2026,1,January,4,Thursday,False
20260123,2026-01-23,2026,1,January,4,Friday,False
20260124,2026-01-24,2026,1,January,4,Saturday,True
20260125,2026-01-25,2026,1,January,4,Sunday,True
20260126,2026-01-26,2026,1,January,5,Monday,False
20260127,2026-01-27,2026,1,January,5,Tuesday,False
20260128,2026-01-28,2026,1,January,5,Wednesday,False
20260129,2026-01-29,2026,1,January,5,Thursday,False
20260130,2026-01-30,2026,1,January,5,Friday,False
20260131,2026-01-31,2026,1,January,5,Saturday,True
20260201,2026-02-01,2026,2,February,5,Sunday,True
20260202,2026-02-02,2026,2,February,6,Monday,False
20260203,2026-02-03,2026,2,February,6,Tuesday,False
20260204,2026-02-04,2026,2,February,6,Wednesday,False
20260205,2026-02-05,2026,2,February,6,Thursday,False
20260206,2026-02-06,2026,2,February,6,Friday,False
20260207,2026-02-07,2026,2,February,6,Saturday,True
20260208,2026-02-08,2026,2,February,6,Sunday,True
20260209,2026-02-09,2026,2,February,7,Monday,False
20260210,2026-02-10,2026,2,February,7,Tuesday,False
20260211,2026-02-11,2026,2,February,7,Wednesday,False
