slot_id,slot_datetime,provider_id,clinic_id,specialty,slot_status
1,2026-07-08 08:00:00,8,2,Internal Medicine,Open
2,2026-07-08 08:00:00,32,6,Dermatology,Open
3,2026-07-08 08:00:00,31,6,Behavioral Health,Open
4,2026-07-08 08:00:00,28,5,Family Medicine,Open
5,2026-07-08 08:00:00,35,6,Behavioral Health,Open
6,2026-07-08 08:00:00,27,5,Obstetrics & Gynecology,Released (Cancellation)
7,2026-07-08 08:00:00,4,1,Internal Medicine,Open
8,2026-07-08 08:00:00,24,4,Family Medicine,Open
9,2026-07-08 08:00:00,22,4,Family Medicine,Released (Cancellation)
10,2026-07-08 08:00:00,20,4,Family Medicine,Open
11,2026-07-08 08:00:00,33,6,Behavioral Health,Open
12,2026-07-08 08:00:00,36,6,Dermatology,Open
13,2026-07-08 08:00:00,9,2,Family Medicine,Open
14,2026-07-08 08:00:00,11,2,Family Medicine,Open
15,2026-07-08 08:00:00,14,3,Cardiology,Open
16,2026-07-08 08:00:00,17,3,Cardiology,Open
17,2026-07-08 08:30:00,9,2,Family Medicine,Open
18,2026-07-08 08:30:00,28,5,Family Medicine,Open
19,2026-07-08 08:30:00,12,2,Internal Medicine,Released (Cancellation)
20,2026-07-08 08:30:00,8,2,Internal Medicine,Released (Cancellation)
21,2026-07-08 08:30:00,13,3,Internal Medicine,Open
22,2026-07-08 08:30:00,32,6,Dermatology,Open
23,2026-07-08 09:00:00,4,1,Internal Medicine,Open
24,2026-07-08 09:00:00,23,4,Pediatrics,Open
25,2026-07-08 09:00:00,29,5,Obstetrics & Gynecology,Open
26,2026-07-08 09:00:00,31,6,Behavioral Health,Released (Cancellation)
27,2026-07-08 09:00:00,27,5,Obstetrics & Gynecology,Released (Cancellation)
28,2026-07-08 09:30:00,27,5,Obstetrics & Gynecology,Open
29,2026-07-08 09:30:00,28,5,Family Medicine,Open
30,2026-07-08 09:30:00,15,3,Endocrinology,Open
31,2026-07-08 09:30:00,5,1,Family Medicine,Open
32,2026-07-08 09:30:00,12,2,Internal Medicine,Open
33,2026-07-08 09:30:00,1,1,Family Medicine,Released (Cancellation)
34,2026-07-08 10:00:00,29,5,Obstetrics & Gynecology,Released (Cancellation)
35,2026-07-08 10:00:00,10,2,Internal Medicine,Open
36,2026-07-08 10:00:00,16,3,Internal Medicine,Open
37,2026-07-08 10:00:00,11,2,Family Medicine,Open
38,2026-07-08 10:00:00,2,1,Internal Medicine,Open
39,2026-07-08 10:00:00,25,5,Obstetrics & Gynecology,Open
40,2026-07-08 10:00:00,13,3,Internal Medicine,Open
41,2026-07-08 10:30:00,5,1,Family Medicine,Open
42,2026-07-08 10:30:00,17,3,Cardiology,Open
43,2026-07-08 10:30:00,30,5,Family Medicine,Open
44,2026-07-08 10:30:00,15,3,Endocrinology,Open
45,2026-07-08 10:30:00,14,3,Cardiology,Open
46,2026-07-08 10:30:00,2,1,Internal Medicine,Open
47,2026-07-08 10:30:00,7,2,Family Medicine,Released (Cancellation)
48,2026-07-08 10:30:00,25,5,Obstetrics & Gynecology,Open
49,2026-07-08 10:30:00,35,6,Behavioral Health,Released (Cancellation)
50,2026-07-08 10:30:00,21,4,Pediatrics,Open
51,2026-07-08 11:00:00,22,4,Family Medicine,Open
52,2026-07-08 11:00:00,29,5,Obstetrics & Gynecology,Open
53,2026-07-08 11:00:00,35,6,Behavioral Health,Open
54,2026-07-08 11:00:00,5,1,Family Medicine,Open
55,2026-07-08 11:00:00,18,3,Endocrinology,Released (Cancellation)
56,2026-07-08 11:00:00,31,6,Behavioral Health,Open
57,2026-07-08 11:00:00,17,3,Cardiology,Released (Cancellation)
58,2026-07-08 11:00:00,16,3,Internal Medicine,Open
59,2026-07-08 11:00:00,14,3,Cardiology,Open
60,2026-07-08 11:00:00,7,2,Family Medicine,Open
61,2026-07-08 11:30:00,29,5,Obstetrics & Gynecology,Open
62,2026-07-08 11:30:00,1,1,Family Medicine,Open
63,2026-07-08 11:30:00,3,1,Family Medicine,Open
64,2026-07-08 11:30:00,26,5,Family Medicine,Open
65,2026-07-08 11:30:00,10,2,Internal Medicine,Open
66,2026-07-08 11:30:00,34,6,Dermatology,Open
67,2026-07-08 11:30:00,28,5,Family Medicine,Released (Cancellation)
68,2026-07-08 11:30:00,27,5,Obstetrics & Gynecology,Open
69,2026-07-08 12:00:00,13,3,Internal Medicine,Open
70,2026-07-08 12:00:00,9,2,Family Medicine,Open
71,2026-07-08 12:00:00,21,4,Pediatrics,Open
